location-long,location-lat,individual-local-identifier,year,month
-119.906,33.478,1995CA-Bmu-23040,1995,9
-119.713,33.49,1995CA-Bmu-23040,1995,9
-120.017,33.356,1995CA-Bmu-23040,1995,9
-119.70999999999998,33.363,1995CA-Bmu-23040,1995,9
-122.726,31.843,1995CA-Bmu-23040,1995,9
-119.40300000000002,33.131,1995CA-Bmu-23040,1995,9
-119.937,33.114,1995CA-Bmu-23040,1995,9
-119.623,33.039,1995CA-Bmu-23040,1995,9
-119.44400000000002,33.583,1995CA-Bmu-23040,1995,9
-118.912,32.863,1995CA-Bmu-23040,1995,9
-118.03300000000002,32.682,1995CA-Bmu-23040,1995,9
-118.888,32.465,1995CA-Bmu-23040,1995,9
-118.736,32.44,1995CA-Bmu-23040,1995,9
-118.215,32.2,1995CA-Bmu-23040,1995,9
-117.857,32.329,1995CA-Bmu-23040,1995,9
-117.60399999999998,32.092,1995CA-Bmu-23040,1995,9
-116.934,32.158,1995CA-Bmu-23040,1995,10
-117.55,32.958,1995CA-Bmu-23040,1995,10
-117.491,32.515,1995CA-Bmu-23040,1995,10
-117.52100000000002,32.911,1995CA-Bmu-23040,1995,10
-117.741,33.251,1995CA-Bmu-23040,1995,10
-117.75799999999998,33.09,1995CA-Bmu-23040,1995,10
-119.035,33.86,1995CA-Bmu-23040,1995,10
-119.127,33.937,1995CA-Bmu-23040,1995,10
-117.473,32.748,1995CA-Bmu-23040,1995,10
-118.596,33.812,1995CA-Bmu-23040,1995,10
-120.933,34.127,1995CA-Bmu-23040,1995,10
-121.406,33.914,1995CA-Bmu-23040,1995,10
-120.173,32.625,1995CA-Bmu-23040,1995,10
-119.12099999999998,33.284,1995CA-Bmu-23040,1995,10
-119.52100000000002,33.614,1995CA-Bmu-23040,1995,10
-118.59699999999998,31.867,1995CA-Bmu-23040,1995,10
-121.113,32.905,1995CA-Bmu-23040,1995,10
-118.232,32.176,1995CA-Bmu-23040,1995,10
-117.737,31.599,1995CA-Bmu-23040,1995,10
-116.64,31.44,1995CA-Bmu-23040,1995,10
-116.888,31.023,1995CA-Bmu-23040,1995,10
-116.5,30.697,1995CA-Bmu-23040,1995,10
-116.103,30.501,1995CA-Bmu-23040,1995,10
-116.238,30.645,1995CA-Bmu-23040,1995,10
-116.963,30.579,1995CA-Bmu-23040,1995,10
-115.965,30.132,1995CA-Bmu-23040,1995,10
-117.66899999999998,29.546,1995CA-Bmu-23040,1995,10
-115.744,29.363,1995CA-Bmu-23040,1995,10
-115.473,29.308,1995CA-Bmu-23040,1995,10
-114.999,28.85,1995CA-Bmu-23040,1995,10
-114.578,28.175,1995CA-Bmu-23040,1995,10
-115.356,27.611,1995CA-Bmu-23040,1995,10
-115.05599999999998,27.94,1995CA-Bmu-23040,1995,10
-115.288,27.714,1995CA-Bmu-23040,1995,10
-115.512,27.365,1995CA-Bmu-23040,1995,10
-114.882,26.697,1995CA-Bmu-23040,1995,10
-114.491,26.375,1995CA-Bmu-23040,1995,10
-113.768,26.034,1995CA-Bmu-23040,1995,10
-113.247,25.88,1995CA-Bmu-23040,1995,10
-112.329,24.918,1995CA-Bmu-23040,1995,10
-112.268,24.705,1995CA-Bmu-23040,1995,10
-112.275,24.279,1995CA-Bmu-23040,1995,10
-112.015,23.977,1995CA-Bmu-23040,1995,10
-111.89600000000002,23.941,1995CA-Bmu-23040,1995,10
-111.83499999999998,23.893,1995CA-Bmu-23040,1995,10
-112.007,23.801,1995CA-Bmu-23040,1995,10
-112.662,24.262,1995CA-Bmu-23040,1995,10
